role,eodhd_symbol,ticker,status,row_count,start_date,end_date,error,finished_utc
stock,ACHR.US,ACHR,ok,1342,1995-01-01,2026-04-24,,2026-04-28T19:56:35Z
stock,ACHV.US,ACHV,ok,7680,1995-01-01,2026-04-24,,2026-04-28T19:56:36Z
stock,ACI.US,ACI,ok,1464,1995-01-01,2026-04-24,,2026-04-28T19:56:37Z
stock,ACIC.US,ACIC,ok,3686,1995-01-01,2026-04-24,,2026-04-28T19:56:38Z
stock,ACIU.US,ACIU,ok,2409,1995-01-01,2026-04-24,,2026-04-28T19:56:38Z
stock,ACIW.US,ACIW,ok,7843,1995-01-01,2026-04-24,,2026-04-28T19:56:40Z
stock,ACLS.US,ACLS,ok,6486,1995-01-01,2026-04-24,,2026-04-28T19:56:41Z
stock,ACLX.US,ACLX,ok,1058,1995-01-01,2026-04-24,,2026-04-28T19:56:42Z
stock,ACM.US,ACM,ok,4770,1995-01-01,2026-04-24,,2026-04-28T19:56:43Z
stock,ACMR.US,ACMR,ok,2128,1995-01-01,2026-04-24,,2026-04-28T19:56:43Z
stock,ACN.US,ACN,ok,6228,1995-01-01,2026-04-24,,2026-04-28T19:56:45Z
stock,ACNB.US,ACNB,ok,6746,1995-01-01,2026-04-24,,2026-04-28T19:56:46Z
stock,ACNT.US,ACNT,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:47Z
stock,ACOG.US,ACOG,ok,363,1995-01-01,2026-04-24,,2026-04-28T19:56:48Z
stock,ACON.US,ACON,ok,1005,1995-01-01,2026-04-24,,2026-04-28T19:56:48Z
stock,ACR.US,ACR,ok,5085,1995-01-01,2026-04-24,,2026-04-28T19:56:49Z
stock,ACRE.US,ACRE,ok,3519,1995-01-01,2026-04-24,,2026-04-28T19:56:50Z
stock,ACRS.US,ACRS,ok,2652,1995-01-01,2026-04-24,,2026-04-28T19:56:51Z
stock,ACRV.US,ACRV,ok,862,1995-01-01,2026-04-24,,2026-04-28T19:56:52Z
stock,ACT.US,ACT,ok,1156,1995-01-01,2026-04-24,,2026-04-28T19:56:52Z
stock,ACTG.US,ACTG,ok,7691,1995-01-01,2026-04-24,,2026-04-28T19:56:54Z
stock,ACTU.US,ACTU,ok,426,1995-01-01,2026-04-24,,2026-04-28T19:56:54Z
stock,ACVA.US,ACVA,ok,1278,1995-01-01,2026-04-24,,2026-04-28T19:56:55Z
stock,ACXP.US,ACXP,ok,1213,1995-01-01,2026-04-24,,2026-04-28T19:56:55Z
stock,ACYN.US,ACYN,ok,42,1995-01-01,2026-04-24,,2026-04-28T19:56:56Z
stock,ACYS.US,ACYS,ok,2,1995-01-01,2026-04-24,,2026-04-28T19:56:56Z
stock,AD.US,AD,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:56:57Z
stock,ADAG.US,ADAG,ok,1308,1995-01-01,2026-04-24,,2026-04-28T19:56:58Z
stock,ADAM.US,ADAM,ok,5473,1995-01-01,2026-04-24,,2026-04-28T19:56:59Z
stock,ADAMG.US,ADAMG,ok,320,1995-01-01,2026-04-24,,2026-04-28T19:56:59Z
stock,ADAMH.US,ADAMH,ok,201,1995-01-01,2026-04-24,,2026-04-28T19:57:00Z
stock,ADAMI.US,ADAMI,ok,456,1995-01-01,2026-04-24,,2026-04-28T19:57:00Z
stock,ADAMM.US,ADAMM,ok,1642,1995-01-01,2026-04-24,,2026-04-28T19:57:01Z
stock,ADAMN.US,ADAMN,ok,2148,1995-01-01,2026-04-24,,2026-04-28T19:57:02Z
stock,ADAMO.US,ADAMO,ok,70,1995-01-01,2026-04-24,,2026-04-28T19:57:02Z
stock,ADAMZ.US,ADAMZ,ok,1111,1995-01-01,2026-04-24,,2026-04-28T19:57:03Z
stock,ADBE.US,ADBE,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:04Z
stock,ADC.US,ADC,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:06Z
stock,ADCT.US,ADCT,ok,1493,1995-01-01,2026-04-24,,2026-04-28T19:57:06Z
stock,ADEA.US,ADEA,ok,5646,1995-01-01,2026-04-24,,2026-04-28T19:57:07Z
stock,ADGM.US,ADGM,ok,433,1995-01-01,2026-04-24,,2026-04-28T19:57:08Z
stock,ADI.US,ADI,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:09Z
stock,ADIL.US,ADIL,ok,1946,1995-01-01,2026-04-24,,2026-04-28T19:57:10Z
stock,ADM.US,ADM,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:11Z
stock,ADMA.US,ADMA,ok,3148,1995-01-01,2026-04-24,,2026-04-28T19:57:12Z
stock,ADNT.US,ADNT,ok,2393,1995-01-01,2026-04-24,,2026-04-28T19:57:13Z
stock,ADP.US,ADP,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:15Z
stock,ADPT.US,ADPT,ok,1716,1995-01-01,2026-04-24,,2026-04-28T19:57:15Z
stock,ADSE.US,ADSE,ok,1288,1995-01-01,2026-04-24,,2026-04-28T19:57:16Z
stock,ADSK.US,ADSK,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:17Z
stock,ADT.US,ADT,ok,2077,1995-01-01,2026-04-24,,2026-04-28T19:57:18Z
