symbol,ticker,eodhd_symbol,name,country,exchange,currency,type,isin,sector,industry,gics_sector,gics_sub_industry,is_delisted,delisted_date,metadata_source
ADXN,ADXN,ADXN.US,Addex Therapeutics Ltd,USA,NASDAQ,USD,Common Stock,US00654J2069,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
AEAE,AEAE,AEAE.US,Altenergy Acquisition Corp,USA,NASDAQ,USD,Common Stock,US02157M1080,Financial Services,Shell Companies,Financials,Shell Companies,False,NA,eodhd_fundamentals_general
AEAQ,AEAQ,AEAQ.US,Activate Energy Acquisition Corp. Class A Ordinary Share,USA,NASDAQ,USD,Common Stock,NA,Financial Services,Shell Companies,NA,Shell Companies,False,NA,eodhd_fundamentals_general
AEBI,AEBI,AEBI.US,Aebi Schmidt Holding AG - Common Stock,USA,NASDAQ,USD,Common Stock,CH0027352993,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,False,NA,eodhd_fundamentals_general
AEC,AEC,AEC.US,Anfield Energy Inc.,USA,NASDAQ,USD,Common Stock,NA,Energy,Uranium,NA,Uranium,False,NA,eodhd_fundamentals_general
AEE,AEE,AEE.US,Ameren Corp,USA,NYSE,USD,Common Stock,US0236081024,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric,False,NA,eodhd_fundamentals_general
AEG,AEG,AEG.US,Aegon NV ADR,USA,NYSE,USD,Common Stock,US0076CA1045,Financial Services,Insurance - Diversified,Financials,Insurance - Diversified,False,NA,eodhd_fundamentals_general
AEHL,AEHL,AEHL.US,Antelope Enterprise Holdings Ltd,USA,NASDAQ,USD,Common Stock,VGG041JN1065,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment,False,NA,eodhd_fundamentals_general
AEHR,AEHR,AEHR.US,Aehr Test Systems,USA,NASDAQ,USD,Common Stock,US00760J1088,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductor Equipment & Materials,False,NA,eodhd_fundamentals_general
AEI,AEI,AEI.US,Alset Ehome International Inc,USA,NASDAQ,USD,Common Stock,US02116A1043,Real Estate,Real Estate - Development,Real Estate,Real Estate - Development,False,NA,eodhd_fundamentals_general
AEIS,AEIS,AEIS.US,Advanced Energy Industries Inc,USA,NASDAQ,USD,Common Stock,US0079731008,Industrials,Electrical Equipment & Parts,Information Technology,Electrical Equipment & Parts,False,NA,eodhd_fundamentals_general
AEM,AEM,AEM.US,Agnico Eagle Mines Limited,USA,NYSE,USD,Common Stock,CA0084741085,Basic Materials,Gold,Materials,Gold,False,NA,eodhd_fundamentals_general
AEMD,AEMD,AEMD.US,Aethlon Medical Inc,USA,NASDAQ,USD,Common Stock,US00808Y3071,Healthcare,Medical Devices,Health Care,Medical Devices,False,NA,eodhd_fundamentals_general
AENT,AENT,AENT.US,Alliance Entertainment Holding Corporation Class A Common Stock,USA,NASDAQ,USD,Common Stock,US01861F1021,Communication Services,Entertainment,Consumer Discretionary,Entertainment,False,NA,eodhd_fundamentals_general
AEO,AEO,AEO.US,American Eagle Outfitters Inc,USA,NYSE,USD,Common Stock,US02553E1064,Consumer Cyclical,Apparel Retail,Consumer Discretionary,Apparel Retail,False,NA,eodhd_fundamentals_general
AEON,AEON,AEON.US,"AEON Biopharma, Inc.",USA,NYSE MKT,USD,Common Stock,US00775E1029,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
AEP,AEP,AEP.US,American Electric Power Co Inc,USA,NASDAQ,USD,Common Stock,US0255371017,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric,False,NA,eodhd_fundamentals_general
AER,AER,AER.US,AerCap Holdings NV,USA,NYSE,USD,Common Stock,NL0000687663,Industrials,Rental & Leasing Services,Industrials,Rental & Leasing Services,False,NA,eodhd_fundamentals_general
AERO,AERO,AERO.US,"Grupo Aerom̩xico, S.A.B. de C.V.",USA,NYSE,USD,Common Stock,NA,Industrials,Airlines,NA,Airlines,False,NA,eodhd_fundamentals_general
AERT,AERT,AERT.US,Aeries Technology Inc.,USA,NASDAQ,USD,Common Stock,KYG0136H1020,Industrials,Consulting Services,Industrials,Consulting Services,False,NA,eodhd_fundamentals_general
AES,AES,AES.US,The AES Corporation,USA,NYSE,USD,Common Stock,US00130H1059,Utilities,Utilities - Diversified,Utilities,Utilities - Diversified,False,NA,eodhd_fundamentals_general
AESI,AESI,AESI.US,Atlas Energy Solutions Inc.,USA,NYSE,USD,Common Stock,US6420451089,Energy,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,False,NA,eodhd_fundamentals_general
AEVA,AEVA,AEVA.US,"Aeva Technologies, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US00835Q1031,Technology,Software - Infrastructure,Consumer Discretionary,Software - Infrastructure,False,NA,eodhd_fundamentals_general
AEXA,AEXA,AEXA.US,American Exceptionalism Acquisition Corp. A,USA,NYSE,USD,Common Stock,KYG0273J1013,Financial Services,Shell Companies,Financials,Shell Companies,False,NA,eodhd_fundamentals_general
AEYE,AEYE,AEYE.US,AudioEye Inc,USA,NASDAQ,USD,Common Stock,US0507342014,Technology,Software - Application,Information Technology,Software - Application,False,NA,eodhd_fundamentals_general
AFBI,AFBI,AFBI.US,Affinity Bancshares Inc,USA,NASDAQ,USD,Common Stock,US00832E1038,Financial Services,Banks - Regional,Financials,Banks - Regional,False,NA,eodhd_fundamentals_general
AFCG,AFCG,AFCG.US,AFC Gamma Inc,USA,NASDAQ,USD,Common Stock,US00109K1051,Financial Services,Asset Management,Financials,Asset Management,False,NA,eodhd_fundamentals_general
AFG,AFG,AFG.US,American Financial Group Inc,USA,NYSE,USD,Common Stock,US0259321042,Financial Services,Insurance - Property & Casualty,Financials,Insurance - Property & Casualty,False,NA,eodhd_fundamentals_general
AFGE,AFGE,AFGE.US,"American Financial Group, Inc.",USA,NYSE,USD,Common Stock,US0259328641,Financials,Insurance,Financials,Insurance,False,NA,eodhd_fundamentals_general
AFJK,AFJK,AFJK.US,"Aimei Health Technology Co., Ltd Ordinary Share",USA,NASDAQ,USD,Common Stock,KYG013411171,Financial Services,Shell Companies,Health Care,Shell Companies,False,NA,eodhd_fundamentals_general
AFL,AFL,AFL.US,Aflac Incorporated,USA,NYSE,USD,Common Stock,US0010551028,Financial Services,Insurance - Life,Financials,Insurance - Life,False,NA,eodhd_fundamentals_general
